timestamp,num_swaths,bbox,val_0,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,val_100,amsr2_file,sic_file,error
20141102T094018,44,"(73850.43547475613, -1117045.1183897392, 494360.07984105585, -922655.6208539545)",0,0,0,0,0,1,1,6,30,437,22939,8728,AMSR2_S1A_EW_GRDM_1SDH_20141102T094018_20141102T094035_003101_0038E2_DAB4.nc,S1A_EW_GRDM_1SDH_20141102T094018_20141102T094035_003101_0038E2_DAB4_SIC.tiff,
20141102T210409,2,"(-686802.2239385047, -1996961.215363325, -253901.4266846935, -1582227.4311361783)",16048897,2219571,507006,337765,313471,257267,200979,180246,161621,154380,318213,399,AMSR2_S1A_EW_GRDM_1SDH_20141102T210409_20141102T210509_003108_003908_5E5A.nc,S1A_EW_GRDM_1SDH_20141102T210409_20141102T210509_003108_003908_5E5A_SIC.tiff,
20141102T211238,2,"(-581587.3599359825, 1351573.1470333142, -133458.01456143794, 1789046.00043267)",0,0,0,1,1,2,1,4,9,2026,3441258,18144879,AMSR2_S1A_EW_GRDM_1SDH_20141102T211238_20141102T211338_003108_003909_97DC.nc,S1A_EW_GRDM_1SDH_20141102T211238_20141102T211338_003108_003909_97DC_SIC.tiff,
20141102T211134,44,"(-616283.189599615, 933020.376036111, -174911.74313188394, 1388448.7409993254)",0,0,0,0,0,0,0,0,0,0,6513322,19073999,AMSR2_S1A_EW_GRDM_1SDH_20141102T211134_20141102T211238_003108_003909_F76C.nc,S1A_EW_GRDM_1SDH_20141102T211134_20141102T211238_003108_003909_F76C_SIC.tiff,
20141102T080542,2,"(790968.2316496719, -2721140.797876556, 1261883.509713838, -2346506.266589037)",10272570,375436,67095,34390,20441,14824,11277,7719,5236,5501,6245,340,AMSR2_S1A_EW_GRDM_1SDH_20141102T080542_20141102T080627_003100_0038DB_B598.nc,S1A_EW_GRDM_1SDH_20141102T080542_20141102T080627_003100_0038DB_B598_SIC.tiff,
20141102T143158,4,"(475687.7169617774, -608102.1312624192, 968622.6487412241, -144657.02197288058)",2188427,639375,192779,217674,155208,83558,112883,192091,230144,494581,2853166,19211351,AMSR2_S1A_EW_GRDM_1SDH_20141102T143158_20141102T143305_003104_0038F5_556D.nc,S1A_EW_GRDM_1SDH_20141102T143158_20141102T143305_003104_0038F5_556D_SIC.tiff,
20141102T062312,44,"(859506.734462436, -964239.6495967297, 1424757.794247977, -400095.6847799908)",15863716,624764,117230,78444,101249,57032,49198,35910,33194,77428,1078274,551,AMSR2_S1A_EW_GRDM_1SDH_20141102T062312_20141102T062412_003099_0038D2_49A0.nc,S1A_EW_GRDM_1SDH_20141102T062312_20141102T062412_003099_0038D2_49A0_SIC.tiff,
20141102T062512,2,"(1329097.301270823, -1623789.9956070436, 1907631.7579491385, -1043243.1051709767)",24514269,0,0,0,0,0,0,0,0,0,0,0,AMSR2_S1A_EW_GRDM_1SDH_20141102T062512_20141102T062614_003099_0038D2_0188.nc,S1A_EW_GRDM_1SDH_20141102T062512_20141102T062614_003099_0038D2_0188_SIC.tiff,
20141102T062208,44,"(602616.0735737251, -649212.8330963007, 1182298.392299515, -65833.25979321233)",3660404,612848,454782,384164,351388,301105,363722,494529,509595,594981,7341772,7837720,AMSR2_S1A_EW_GRDM_1SDH_20141102T062208_20141102T062312_003099_0038D2_484F.nc,S1A_EW_GRDM_1SDH_20141102T062208_20141102T062312_003099_0038D2_484F_SIC.tiff,
20141102T093914,44,"(97901.47657774398, -1002277.8091072815, 574455.9938956491, -512752.078434468)",0,0,0,0,0,3,2,5,10,17,85980,12980618,AMSR2_S1A_EW_GRDM_1SDH_20141102T093914_20141102T094018_003101_0038E2_C2F8.nc,S1A_EW_GRDM_1SDH_20141102T093914_20141102T094018_003101_0038E2_C2F8_SIC.tiff,
20141102T210309,2,"(-674419.3957409748, -2405529.0951461797, -231092.58872011502, -1980228.2828199419)",21107542,554771,38934,21201,17038,14273,8471,6269,3996,3565,3318,310,AMSR2_S1A_EW_GRDM_1SDH_20141102T210309_20141102T210409_003108_003908_336F.nc,S1A_EW_GRDM_1SDH_20141102T210309_20141102T210409_003108_003908_336F_SIC.tiff,
20141102T094539,2,"(-546681.409640863, -3530623.577811561, -12107.4092218531, -3004414.058700938)",20811057,268693,42548,25041,21447,18741,15742,11763,8672,8866,15274,514,AMSR2_S1A_EW_GRDM_1SDH_20141102T094539_20141102T094639_003101_0038E3_49AC.nc,S1A_EW_GRDM_1SDH_20141102T094539_20141102T094639_003101_0038E3_49AC_SIC.tiff,
20141102T192416,2,"(276533.7025305379, -2505755.0584707498, 808227.2491631596, -2004046.9800801324)",1888049,875718,558839,547553,462788,266415,98031,57442,75380,38427,10872,172,AMSR2_S1A_EW_GRDM_1SDH_20141102T192416_20141102T192507_003107_003905_9B5E.nc,S1A_EW_GRDM_1SDH_20141102T192416_20141102T192507_003107_003905_9B5E_SIC.tiff,
20141102T012557,44,"(330044.9552593325, 497090.2697322214, 874243.8143349341, 1031453.2616325121)",0,1,2,4,2,4,3,14,9,26,9502633,12080527,AMSR2_S1A_EW_GRDM_1SDH_20141102T012557_20141102T012701_003096_0038C7_C60A.nc,S1A_EW_GRDM_1SDH_20141102T012557_20141102T012701_003096_0038C7_C60A_SIC.tiff,
20141102T044425,44,"(1032983.5414726821, -407950.0543741673, 1574874.9776831237, 139712.07109132348)",11994653,302896,80531,62431,55593,80757,116304,158969,287007,1332332,9947264,17552,AMSR2_S1A_EW_GRDM_1SDH_20141102T044425_20141102T044525_003098_0038D0_FB1A.nc,S1A_EW_GRDM_1SDH_20141102T044425_20141102T044525_003098_0038D0_FB1A_SIC.tiff,
20141102T143058,2,"(908001.6438757445, -545892.0048804759, 1363000.0463936948, -81127.32195535493)",1940238,425766,201784,142346,212150,275540,236466,297608,799313,1925466,14509288,410134,AMSR2_S1A_EW_GRDM_1SDH_20141102T143058_20141102T143158_003104_0038F5_5EEA.nc,S1A_EW_GRDM_1SDH_20141102T143058_20141102T143158_003104_0038F5_5EEA_SIC.tiff,
20141102T080038,44,"(390826.74292746553, -853623.438577172, 886905.7367710735, -347410.7645742884)",0,42640,28138,34679,285971,107784,65065,81422,82198,351196,1749613,22719517,AMSR2_S1A_EW_GRDM_1SDH_20141102T080038_20141102T080142_003100_0038DB_5FB4.nc,S1A_EW_GRDM_1SDH_20141102T080038_20141102T080142_003100_0038DB_5FB4_SIC.tiff,
20141102T111911,44,"(-584870.3173992813, -1510534.8412715006, -2680.1613814225093, -926125.006009565)",0,0,4,69,3689,2474,4129,15985,37710,57389,264771,417337,AMSR2_S1A_EW_GRDM_1SDH_20141102T111911_20141102T112016_003102_0038EA_0D5F.nc,S1A_EW_GRDM_1SDH_20141102T111911_20141102T112016_003102_0038EA_0D5F_SIC.tiff,
20141102T080342,2,"(651753.5489430744, -2019314.7018357336, 1136822.109609668, -1543716.374484603)",13260604,564976,180729,203860,297996,275116,191099,265439,305466,1278249,4457592,47733,AMSR2_S1A_EW_GRDM_1SDH_20141102T080342_20141102T080442_003100_0038DB_E57F.nc,S1A_EW_GRDM_1SDH_20141102T080342_20141102T080442_003100_0038DB_E57F_SIC.tiff,
20141102T012901,2,"(1474891.998491286, 929358.7002386907, 1870727.059096844, 1410324.7520072907)",0,0,6051,30128,25079,71803,50096,49400,112988,145205,852080,1701967,AMSR2_S1A_EW_GRDM_1SDH_20141102T012901_20141102T012941_003096_0038C7_D101.nc,S1A_EW_GRDM_1SDH_20141102T012901_20141102T012941_003096_0038C7_D101_SIC.tiff,
20141102T112116,2,"(-1043395.9020332368, -2105246.441754505, -502606.59605070995, -1576725.9323044994)",11792088,1063978,318658,260557,215255,216893,253711,363516,986974,1632565,1047195,169,AMSR2_S1A_EW_GRDM_1SDH_20141102T112116_20141102T112207_003102_0038EA_15FE.nc,S1A_EW_GRDM_1SDH_20141102T112116_20141102T112207_003102_0038EA_15FE_SIC.tiff,
20141102T080242,2,"(572919.3482724525, -1626058.465883618, 1058701.6062016394, -1149898.0205603293)",8501319,201458,73403,106087,209175,205517,190225,317044,544892,1156774,5848674,4416191,AMSR2_S1A_EW_GRDM_1SDH_20141102T080242_20141102T080342_003100_0038DB_3D06.nc,S1A_EW_GRDM_1SDH_20141102T080242_20141102T080342_003100_0038DB_3D06_SIC.tiff,
20141102T044625,2,"(1725589.0454896, -748094.0240686039, 2184101.9563802504, -242624.00626045547)",15866266,31928,7930,3719,2491,1892,1502,1541,1326,1266,1200,132,AMSR2_S1A_EW_GRDM_1SDH_20141102T044625_20141102T044708_003098_0038D0_C53D.nc,S1A_EW_GRDM_1SDH_20141102T044625_20141102T044708_003098_0038D0_C53D_SIC.tiff,
